relative_path,name,bytes,matched_reference_norm
COLEÇÃO - 2020\2136-CB52.jpg,2136-CB52.jpg,114007,2136
COLEÇÃO - 2020\2136-CB53.jpg,2136-CB53.jpg,103023,2136
COLEÇÃO - 2020\2136-CB54.jpg,2136-CB54.jpg,136597,2136
COLEÇÃO - 2020\2136_CB42_E.JPG,2136_CB42_E.JPG,123400,2136
COLEÇÃO - 2020\2150-CB08.jpg,2150-CB08.jpg,132267,2150
COLEÇÃO - 2020\2150-CB08_A.jpg,2150-CB08_A.jpg,138611,2150
COLEÇÃO - 2020\2150-CB08_B.jpg,2150-CB08_B.jpg,138256,2150
COLEÇÃO - 2020\2150-CB08_C.jpg,2150-CB08_C.jpg,142560,2150
COLEÇÃO - 2020\2150-CB20.jpg,2150-CB20.jpg,126336,2150
COLEÇÃO - 2020\2150-CB28.jpg,2150-CB28.jpg,143153,2150
COLEÇÃO - 2020\2150-CB35.jpg,2150-CB35.jpg,114870,2150
COLEÇÃO - 2020\2150-CB35_A.jpg,2150-CB35_A.jpg,99744,2150
COLEÇÃO - 2020\2150-CB35_B.jpg,2150-CB35_B.jpg,151931,2150
COLEÇÃO - 2020\2150-CB35_C.jpg,2150-CB35_C.jpg,76226,2150
COLEÇÃO - 2020\2150-CB35_D.jpg,2150-CB35_D.jpg,108215,2150
COLEÇÃO - 2020\2150-CB36.jpg,2150-CB36.jpg,127697,2150
COLEÇÃO - 2020\2150-CB40.JPG,2150-CB40.JPG,121402,2150
COLEÇÃO - 2020\2150-CB41.JPG,2150-CB41.JPG,155983,2150
COLEÇÃO - 2020\2150-CB42.JPG,2150-CB42.JPG,154647,2150
COLEÇÃO - 2020\2150-CB43.jpg,2150-CB43.jpg,126050,2150
COLEÇÃO - 2020\2150-CB44.jpg,2150-CB44.jpg,126544,2150
COLEÇÃO - 2020\2150-CB45.jpg,2150-CB45.jpg,142092,2150
COLEÇÃO - 2020\2150-CB46.jpg,2150-CB46.jpg,127774,2150
COLEÇÃO - 2020\434-CB10.jpg,434-CB10.jpg,92819,434
COLEÇÃO - 2020\434-CB12.jpg,434-CB12.jpg,83805,434
COLEÇÃO - 2020\434-CB12_A.jpg,434-CB12_A.jpg,124944,434
COLEÇÃO - 2020\434-CB12_B.jpg,434-CB12_B.jpg,104246,434
COLEÇÃO - 2020\434-CB12_C.jpg,434-CB12_C.jpg,137679,434
COLEÇÃO - 2020\434-CB12_D.jpg,434-CB12_D.jpg,137632,434
COLEÇÃO - 2020\434-CB12_E.jpg,434-CB12_E.jpg,147579,434
COLEÇÃO - 2020\434-CB13.jpg,434-CB13.jpg,101340,434
COLEÇÃO - 2020\434-CB15.jpg,434-CB15.jpg,127939,434
COLEÇÃO - 2020\434-CB16.jpg,434-CB16.jpg,144644,434
COLEÇÃO - 2020\451-1-CB10.jpg,451-1-CB10.jpg,84271,4511
COLEÇÃO - 2020\451-1-CB12.jpg,451-1-CB12.jpg,93870,4511
COLEÇÃO - 2020\451-1-CB12_A.jpg,451-1-CB12_A.jpg,111926,4511
COLEÇÃO - 2020\451-1-CB12_B.jpg,451-1-CB12_B.jpg,121784,4511
COLEÇÃO - 2020\451-1-CB12_C.jpg,451-1-CB12_C.jpg,126603,4511
